d_date,fajr_begins,fajr_jamah,sunrise,zuhr_begins,zuhr_jamah,asr_mithl_1,asr_mithl_2,asr_jamah,maghrib_begins,maghrib_jamah,isha_begins,isha_jamah,is_ramadan,hijri_date
2019-03-17,04:31:00,05:08:00,06:08:00,12:14:00,12:45:00,15:23:00,15:23:00,16:30:00,18:11:00,18:16:00,19:31:00,20:00:00,0,0
2019-03-18,04:29:00,05:06:00,06:06:00,12:14:00,12:45:00,15:24:00,15:24:00,16:30:00,18:13:00,18:18:00,19:33:00,20:00:00,0,0
2019-03-19,04:26:00,05:03:00,06:03:00,12:13:00,12:45:00,15:25:00,15:25:00,16:30:00,18:14:00,18:19:00,19:34:00,20:00:00,0,0
2019-03-20,04:25:00,05:01:00,06:01:00,12:13:00,12:45:00,15:26:00,15:26:00,16:30:00,18:16:00,18:21:00,19:36:00,20:00:00,0,0
2019-03-21,04:23:00,04:59:00,05:59:00,12:13:00,12:45:00,15:27:00,15:27:00,16:30:00,18:18:00,18:23:00,19:37:00,20:00:00,0,0
2019-03-22,04:22:00,04:57:00,05:57:00,12:12:00,12:30:00,15:28:00,15:28:00,16:30:00,18:19:00,18:24:00,19:38:00,20:15:00,0,0
2019-03-23,04:19:00,04:54:00,05:54:00,12:12:00,12:45:00,15:29:00,15:29:00,16:30:00,18:21:00,18:26:00,19:40:00,20:15:00,0,0
2019-03-24,04:17:00,04:52:00,05:52:00,12:12:00,12:45:00,15:30:00,15:30:00,16:30:00,18:23:00,18:28:00,19:42:00,20:15:00,0,0
2019-03-25,04:15:00,04:50:00,05:50:00,12:12:00,12:45:00,15:31:00,15:31:00,16:30:00,18:24:00,18:29:00,19:42:00,20:15:00,0,0
2019-03-26,04:13:00,04:47:00,05:47:00,12:11:00,12:45:00,15:32:00,15:32:00,16:30:00,18:26:00,18:31:00,19:44:00,20:15:00,0,0
2019-03-27,04:11:00,04:45:00,05:45:00,12:11:00,12:45:00,15:33:00,15:33:00,16:30:00,18:28:00,18:33:00,19:46:00,20:15:00,0,0
2019-03-28,04:10:00,04:43:00,05:43:00,12:11:00,12:45:00,15:34:00,15:34:00,16:30:00,18:30:00,18:35:00,19:48:00,20:15:00,0,0
2019-03-29,04:08:00,04:41:00,05:41:00,12:10:00,12:30:00,15:35:00,15:35:00,16:30:00,18:31:00,18:36:00,19:48:00,20:15:00,0,0
2019-03-30,04:05:00,04:38:00,05:38:00,12:10:00,12:45:00,15:35:00,15:35:00,16:30:00,18:33:00,18:38:00,19:50:00,20:15:00,0,0
2019-03-31,05:04:00,05:36:00,06:36:00,13:10:00,13:30:00,16:36:00,16:36:00,18:00:00,19:35:00,19:40:00,20:52:00,21:15:00,0,0
2019-04-01,05:02:00,05:34:00,06:34:00,13:09:00,13:30:00,16:37:00,16:37:00,18:00:00,19:36:00,19:41:00,20:53:00,21:15:00,0,0
2019-04-02,05:00:00,05:32:00,06:32:00,13:09:00,13:30:00,16:38:00,16:38:00,18:00:00,19:38:00,19:43:00,20:55:00,21:15:00,0,0
2019-04-03,04:57:00,05:29:00,06:29:00,13:09:00,13:30:00,16:39:00,16:39:00,18:00:00,19:40:00,19:45:00,20:56:00,21:15:00,0,0
2019-04-04,04:55:00,05:27:00,06:27:00,13:09:00,13:30:00,16:40:00,16:40:00,18:00:00,19:41:00,19:46:00,20:57:00,21:15:00,0,0
2019-04-05,04:53:00,05:25:00,06:25:00,13:08:00,13:15:00,16:41:00,16:41:00,18:00:00,19:43:00,19:48:00,20:59:00,21:30:00,0,0
2019-04-06,04:51:00,05:23:00,06:23:00,13:08:00,13:30:00,16:42:00,16:42:00,18:00:00,19:45:00,19:50:00,21:01:00,21:30:00,0,0
2019-04-07,04:48:00,05:20:00,06:20:00,13:08:00,13:30:00,16:42:00,16:42:00,18:00:00,19:46:00,19:51:00,21:02:00,21:30:00,0,0
2019-04-08,04:46:00,05:18:00,06:18:00,13:07:00,13:30:00,16:43:00,16:43:00,18:00:00,19:48:00,19:53:00,21:04:00,21:30:00,0,0
2019-04-09,04:44:00,05:16:00,06:16:00,13:07:00,13:30:00,16:44:00,16:44:00,18:00:00,19:50:00,19:55:00,21:05:00,21:30:00,0,0
2019-04-10,04:42:00,05:14:00,06:14:00,13:07:00,13:30:00,16:45:00,16:45:00,18:00:00,19:51:00,19:56:00,21:06:00,21:30:00,0,0
2019-04-11,04:39:00,05:11:00,06:11:00,13:07:00,13:30:00,16:46:00,16:46:00,18:00:00,19:53:00,19:58:00,21:08:00,21:30:00,0,0
2019-04-12,04:37:00,05:09:00,06:09:00,13:06:00,13:15:00,16:47:00,16:47:00,18:00:00,19:55:00,20:00:00,21:10:00,21:45:00,0,0
2019-04-13,04:35:00,05:07:00,06:07:00,13:06:00,13:30:00,16:47:00,16:47:00,18:00:00,19:56:00,20:01:00,21:11:00,21:45:00,0,0
2019-04-14,04:33:00,05:05:00,06:05:00,13:06:00,13:30:00,16:48:00,16:48:00,18:00:00,19:58:00,20:03:00,21:13:00,21:45:00,0,0
2019-04-15,04:31:00,05:03:00,06:03:00,13:06:00,13:30:00,16:49:00,16:49:00,18:00:00,20:00:00,20:05:00,21:15:00,21:45:00,0,0
2019-04-16,04:29:00,05:01:00,06:01:00,13:05:00,13:30:00,16:50:00,16:50:00,18:00:00,20:01:00,20:06:00,21:16:00,21:45:00,0,0
2019-04-17,04:26:00,04:58:00,05:58:00,13:05:00,13:30:00,16:50:00,16:50:00,18:00:00,20:03:00,20:08:00,21:17:00,21:45:00,0,0
2019-04-18,04:23:00,04:56:00,05:56:00,13:05:00,13:30:00,16:51:00,16:51:00,18:00:00,20:05:00,20:10:00,21:19:00,21:45:00,0,0
2019-04-19,04:21:00,04:54:00,05:54:00,13:05:00,13:15:00,16:52:00,16:52:00,18:00:00,20:06:00,20:11:00,21:20:00,21:45:00,0,0
2019-04-20,04:19:00,04:52:00,05:52:00,13:04:00,13:30:00,16:53:00,16:53:00,18:00:00,20:08:00,20:13:00,21:22:00,21:45:00,0,0
2019-04-21,04:16:00,04:50:00,05:50:00,13:04:00,13:30:00,16:53:00,16:53:00,18:00:00,20:10:00,20:15:00,21:24:00,21:45:00,0,0
2019-04-22,04:14:00,04:48:00,05:48:00,13:04:00,13:30:00,16:54:00,16:54:00,18:00:00,20:11:00,20:16:00,21:25:00,21:45:00,0,0
2019-04-23,04:12:00,04:46:00,05:46:00,13:04:00,13:30:00,16:55:00,16:55:00,18:00:00,20:13:00,20:18:00,21:26:00,21:45:00,0,0
